+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[14]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[16]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[22]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[23]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[20]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[19]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                 design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/FSM_sequential_state_reg[0]/S|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                 design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/FSM_sequential_state_reg[1]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                 design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/FSM_sequential_state_reg[2]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                 design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/FSM_sequential_state_reg[3]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[28]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[29]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[31]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[30]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[25]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[26]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[27]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[24]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_eol_cnt_dly_reg[10]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_eol_cnt_dly_reg[0]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_eol_cnt_dly_reg[9]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_eol_cnt_dly_reg[5]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_eol_cnt_dly_reg[4]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_eol_cnt_dly_reg[2]/R|
